Algorithm,n_items,Capacity,TotalValue,TotalWeight,NumSelected,Time_ms,Feasible
DP,1000,10000,121987.36,10000,416,8.220,1
Greedy,1000,10000,121931.14,9990,417,0.096,1
Backtrack,1000,10000,121987.36,10000,421,0.265,1
DP,2000,10000,172628.03,10000,587,17.384,1
Greedy,2000,10000,172628.03,10000,587,0.227,1
DP,3000,10000,215446.60,10000,716,24.778,1
Greedy,3000,10000,215361.71,9992,716,0.306,1
DP,4000,10000,242537.27,10000,830,32.818,1
Greedy,4000,10000,242463.31,9994,830,0.394,1
DP,5000,10000,269636.24,10000,916,39.442,1
Greedy,5000,10000,269636.24,10000,916,0.511,1
DP,6000,10000,302488.60,10000,1022,46.723,1
Greedy,6000,10000,302412.93,9995,1022,0.607,1
DP,7000,10000,317859.40,10000,1075,54.520,1
Greedy,7000,10000,317859.40,10000,1075,0.738,1
DP,8000,10000,347960.65,10000,1172,62.296,1
Greedy,8000,10000,347960.65,10000,1172,0.846,1
DP,9000,10000,360611.83,10000,1218,70.028,1
Greedy,9000,10000,360518.60,9995,1218,0.953,1
DP,10000,10000,371610.75,10000,1265,76.811,1
Greedy,10000,10000,371572.82,9998,1265,1.034,1
DP,20000,10000,539653.12,10000,1802,150.829,1
Greedy,20000,10000,539653.12,10000,1802,2.279,1
DP,40000,10000,738312.98,10000,2460,302.375,1
Greedy,40000,10000,738273.76,9999,2460,4.816,1
Greedy,80000,10000,1020225.57,10000,3385,10.157,1
Greedy,160000,10000,1384038.18,10000,4544,20.900,1
Greedy,320000,10000,1856306.37,10000,6090,42.848,1
DP,1000,100000,263782.77,50440,1000,91.874,1
Greedy,1000,100000,263782.77,50440,1000,0.153,1
Backtrack,1000,100000,263782.77,50440,1000,0.792,1
DP,2000,100000,529906.60,99412,2000,176.197,1
Greedy,2000,100000,529906.60,99412,2000,0.185,1
DP,3000,100000,681509.57,100000,2329,258.955,1
Greedy,3000,100000,681476.56,99989,2329,0.297,1
DP,4000,100000,788797.17,100000,2642,335.748,1
Greedy,4000,100000,788746.00,99987,2642,0.405,1
DP,5000,100000,877296.61,100000,2950,445.336,1
Greedy,5000,100000,877221.36,99983,2950,0.498,1
Greedy,6000,100000,966833.49,99988,3240,0.585,1
Greedy,7000,100000,1046234.05,99983,3487,0.656,1
Greedy,8000,100000,1101780.05,99994,3711,0.802,1
Greedy,9000,100000,1166513.48,99997,3915,0.921,1
Greedy,10000,100000,1233747.66,99993,4159,0.967,1
Greedy,20000,100000,1734617.59,100000,5798,2.516,1
Greedy,40000,100000,2434519.36,99998,8189,4.595,1
Greedy,80000,100000,3434463.09,99996,11498,11.084,1
Greedy,160000,100000,4776594.96,99999,15928,21.492,1
Greedy,320000,100000,6632368.44,100000,22130,44.152,1
Greedy,1000,1000000,266526.07,50242,1000,0.084,1
Backtrack,1000,1000000,266526.07,50242,1000,0.797,1
Greedy,2000,1000000,522931.48,101884,2000,0.179,1
Greedy,3000,1000000,792387.64,152133,3000,0.281,1
Greedy,4000,1000000,1056543.50,203499,4000,0.357,1
Greedy,5000,1000000,1324355.69,252935,5000,0.497,1
Greedy,6000,1000000,1582651.33,299430,6000,0.561,1
Greedy,7000,1000000,1845771.61,349305,7000,0.663,1
Greedy,8000,1000000,2112967.15,399931,8000,0.811,1
Greedy,9000,1000000,2383999.15,448245,9000,0.927,1
Greedy,10000,1000000,2637698.44,509298,10000,0.975,1
Greedy,20000,1000000,5259478.49,999924,19922,2.166,1
Greedy,40000,1000000,7874849.10,999999,26487,4.903,1
Greedy,80000,1000000,11116473.45,999999,37297,10.019,1
Greedy,160000,1000000,15620534.63,999996,52445,21.564,1
Greedy,320000,1000000,22100666.01,999999,73931,43.827,1
