CallIndex,SubproblemSize
1,100
2,50
3,25
4,13
5,7
6,4
7,2
8,1
9,1
10,2
11,1
12,1
13,3
14,2
15,1
16,1
17,1
18,6
19,3
20,2
21,1
22,1
23,1
24,3
25,2
26,1
27,1
28,1
29,12
30,6
31,3
32,2
33,1
34,1
35,1
36,3
37,2
38,1
39,1
40,1
41,6
42,3
43,2
44,1
45,1
46,1
47,3
48,2
49,1
50,1
51,1
52,25
53,13
54,7
55,4
56,2
57,1
58,1
59,2
60,1
61,1
62,3
63,2
64,1
65,1
66,1
67,6
68,3
69,2
70,1
71,1
72,1
73,3
74,2
75,1
76,1
77,1
78,12
79,6
80,3
81,2
82,1
83,1
84,1
85,3
86,2
87,1
88,1
89,1
90,6
91,3
92,2
93,1
94,1
95,1
96,3
97,2
98,1
99,1
100,1
101,50
102,25
103,13
104,7
105,4
106,2
107,1
108,1
109,2
110,1
111,1
112,3
113,2
114,1
115,1
116,1
117,6
118,3
119,2
120,1
121,1
122,1
123,3
124,2
125,1
126,1
127,1
128,12
129,6
130,3
131,2
132,1
133,1
134,1
135,3
136,2
137,1
138,1
139,1
140,6
141,3
142,2
143,1
144,1
145,1
146,3
147,2
148,1
149,1
150,1
151,25
152,13
153,7
154,4
155,2
156,1
157,1
158,2
159,1
160,1
161,3
162,2
163,1
164,1
165,1
166,6
167,3
168,2
169,1
170,1
171,1
172,3
173,2
174,1
175,1
176,1
177,12
178,6
179,3
180,2
181,1
182,1
183,1
184,3
185,2
186,1
187,1
188,1
189,6
190,3
191,2
192,1
193,1
194,1
195,3
196,2
197,1
198,1
199,1
